post_id,upload_date,media_type,likes,comments,shares,saves,reach,impressions,caption_length,hashtags_count,followers_gained,traffic_source,engagement_rate,content_category
IG0000001,2024-11-30 09:25:22.954916,Reel,31627,7559,4530,6393,615036,1007750,1340,3,899,Home Feed,4.97,Technology
IG0000002,2025-08-15 09:25:22.954916,Photo,63206,3490,1680,6809,1237071,1345900,1351,20,805,Hashtags,5.59,Fitness
IG0000003,2025-09-11 09:25:22.954916,Reel,94373,3727,1761,8367,1127470,1305369,242,24,758,Reels Feed,8.29,Beauty
IG0000004,2025-09-18 09:25:22.954916,Reel,172053,7222,2875,9290,764030,897874,446,11,402,External,21.32,Music
IG0000005,2025-03-21 09:25:22.954916,Video,99646,2703,4444,9746,7004,495406,1905,8,155,Profile,23.52,Technology
IG0000006,2025-05-06 09:25:22.954916,Carousel,10500,7337,3601,5163,311157,381943,1448,12,904,Reels Feed,6.96,Photography
IG0000007,2025-09-21 09:25:22.954916,Carousel,193906,6326,4384,5581,277864,690698,904,21,701,Explore,30.43,Food
IG0000008,2025-01-06 09:25:22.954916,Carousel,27317,3289,2352,11684,1185935,1592082,400,27,894,Profile,2.8,Technology
IG0000009,2025-10-13 09:25:22.954916,Photo,90827,6557,570,13750,906114,1110667,236,13,739,Reels Feed,10.06,Beauty
IG0000010,2025-03-10 09:25:22.954916,Photo,67067,5988,3223,11741,1212435,1556489,1219,29,611,Hashtags,5.65,Music
IG0000011,2025-04-09 09:25:22.954916,Video,177091,3529,1102,7257,624350,1095641,1521,22,390,Home Feed,17.25,Fitness
IG0000012,2025-05-03 09:25:22.954916,Reel,75759,2422,2970,7671,1350241,1559059,164,4,240,Hashtags,5.7,Beauty
IG0000013,2025-08-23 09:25:22.954916,Reel,78492,4567,3686,1694,1223295,1279889,368,20,493,Explore,6.91,Beauty
IG0000014,2025-04-13 09:25:22.954916,Video,152517,2030,275,12616,837272,1274052,1205,21,792,Reels Feed,13.14,Food
IG0000015,2025-03-16 09:25:22.954916,Reel,29834,3242,1434,377,119869,377581,539,10,808,Home Feed,9.24,Lifestyle
IG0000016,2024-12-06 09:25:22.954916,Reel,180946,4638,3852,2095,1713467,2211458,739,12,752,Hashtags,8.66,Music
IG0000017,2025-07-11 09:25:22.954916,Photo,120368,9052,3429,12079,582403,653331,166,24,920,External,22.18,Travel
IG0000018,2025-01-08 09:25:22.954916,Reel,180326,9546,2854,11160,1031407,1181707,1979,7,923,Home Feed,17.25,Beauty
IG0000019,2025-06-20 09:25:22.954916,Photo,111231,6343,209,14970,61120,85737,2062,27,892,External,154.84,Lifestyle
IG0000020,2025-06-13 09:25:22.954916,Carousel,53222,2548,3798,11000,650215,885482,732,8,216,External,7.97,Travel
IG0000021,2025-02-11 09:25:22.954916,Carousel,139872,5166,1129,8812,1613651,1722166,111,19,87,External,9.0,Music
IG0000022,2025-10-04 09:25:22.954916,Photo,179760,1745,4286,13818,57656,115755,401,2,742,Reels Feed,172.44,Fashion
IG0000023,2025-02-26 09:25:22.954916,Photo,150007,1442,3388,12082,1570109,2036282,999,13,311,Home Feed,8.2,Photography
IG0000024,2025-03-20 09:25:22.954916,Photo,56044,5321,871,14241,389616,491014,1377,1,64,Profile,15.58,Lifestyle
IG0000025,2025-05-08 09:25:22.954916,Carousel,141510,4389,2317,10188,1553546,1718024,371,1,394,Profile,9.22,Comedy
IG0000026,2025-02-18 09:25:22.954916,Video,77071,2115,2268,5573,7054,26092,1067,29,243,Hashtags,333.54,Fashion
IG0000027,2024-11-29 09:25:22.954916,Carousel,198903,709,2532,7163,1610322,1655482,155,9,925,Reels Feed,12.64,Photography
IG0000028,2025-10-19 09:25:22.954916,Video,6178,3937,4023,10970,49036,272711,338,21,559,Profile,9.21,Food
IG0000029,2025-08-01 09:25:22.954916,Photo,83922,9759,4502,10573,450443,741582,2016,26,382,Explore,14.67,Technology
IG0000030,2025-07-26 09:25:22.954916,Reel,139696,4348,1417,4470,1264626,1289700,1512,3,286,External,11.63,Fitness
IG0000031,2025-04-25 09:25:22.954916,Video,99119,529,15,14117,1941850,2105234,1844,12,419,Home Feed,5.4,Comedy
IG0000032,2025-05-25 09:25:22.954916,Carousel,182869,9458,3131,9914,1854517,1962959,1107,29,114,Profile,10.46,Food
IG0000033,2025-04-17 09:25:22.954916,Reel,166153,994,4272,3066,30495,138675,984,21,882,Home Feed,125.82,Music
IG0000034,2025-09-02 09:25:22.954916,Photo,30655,6902,2969,12917,1649160,2046106,781,27,888,Explore,2.61,Food
IG0000035,2025-07-14 09:25:22.954916,Photo,21308,4222,4339,13055,655786,756748,1597,8,916,External,5.67,Technology
IG0000036,2025-02-02 09:25:22.954916,Video,127939,6015,1725,4116,260626,749559,1824,16,861,Explore,18.65,Music
IG0000037,2024-12-01 09:25:22.954916,Reel,51285,7705,3797,2518,1209734,1563306,700,13,336,Reels Feed,4.18,Comedy
IG0000038,2025-11-08 09:25:22.954916,Reel,59876,4565,461,7632,898792,1297148,1267,8,311,Reels Feed,5.59,Technology
IG0000039,2025-04-11 09:25:22.954916,Reel,50998,4503,2231,10468,1478100,1705244,663,15,621,External,4.0,Travel
IG0000040,2025-07-10 09:25:22.954916,Reel,18737,6615,250,6172,1294970,1736215,1702,26,907,Hashtags,1.83,Fitness
IG0000041,2024-11-25 09:25:22.954916,Video,78059,5416,419,8377,1316621,1752540,272,3,359,External,5.26,Comedy
IG0000042,2025-01-24 09:25:22.954916,Carousel,65342,1290,1139,3464,1161849,1639267,2019,27,184,Explore,4.35,Travel
IG0000043,2025-10-21 09:25:22.954916,Carousel,140896,1729,4453,2717,647882,1084676,1837,18,872,Reels Feed,13.81,Photography
IG0000044,2025-06-09 09:25:22.954916,Video,113836,226,1319,10216,1085399,1511909,72,15,409,Reels Feed,8.31,Comedy
IG0000045,2025-06-28 09:25:22.954916,Carousel,9849,8809,1503,14583,76465,366587,1939,30,419,External,9.48,Photography
IG0000046,2025-07-29 09:25:22.954916,Video,199799,10000,4736,1895,287485,653395,874,23,924,Profile,33.12,Music
