student_id,gender,hours_studied,attendance_percent,assignments_completed,test_score
1,Female,6.3,61,6,50.9
2,Male,7.6,62,7,51.8
3,Female,8.9,63,8,52.7
4,Male,10.2,64,9,53.6
5,Female,11.5,65,10,54.5
6,Male,12.8,66,11,55.4
7,Female,14.1,67,12,56.3
8,Male,15.4,68,13,57.2
9,Female,16.7,69,14,58.1
10,Male,5.0,70,5,59.0
11,Female,6.3,71,6,59.9
12,Male,7.6,72,7,60.8
13,Female,8.9,73,8,61.7
14,Male,10.2,74,9,62.6
15,Female,11.5,75,10,63.5
16,Male,12.8,76,11,64.4
17,Female,14.1,77,12,65.3
18,Male,15.4,78,13,66.2
19,Female,16.7,79,14,67.1
20,Male,5.0,80,5,68.0
21,Female,6.3,81,6,68.9
22,Male,7.6,82,7,69.8
23,Female,8.9,83,8,70.7
24,Male,10.2,84,9,71.6
25,Female,11.5,85,10,72.5
26,Male,12.8,86,11,73.4
27,Female,14.1,87,12,74.3
28,Male,15.4,88,13,75.2
29,Female,16.7,89,14,76.1
30,Male,5.0,90,5,77.0
31,Female,6.3,91,6,77.9
32,Male,7.6,92,7,78.8
33,Female,8.9,93,8,79.7
34,Male,10.2,94,9,80.6
35,Female,11.5,95,10,81.5
36,Male,12.8,96,11,82.4
37,Female,14.1,97,12,83.3
38,Male,15.4,98,13,84.2
39,Female,16.7,99,14,85.1
40,Male,5.0,60,5,86.0
41,Female,6.3,61,6,86.9
42,Male,7.6,62,7,87.8
43,Female,8.9,63,8,88.7
44,Male,10.2,64,9,89.6
45,Female,11.5,65,10,90.5
46,Male,12.8,66,11,91.4
47,Female,14.1,67,12,92.3
48,Male,15.4,68,13,93.2
49,Female,16.7,69,14,94.1
50,Male,5.0,70,5,50.0
